250	2.620526075	0.6530144811
250.3572388	2.620892048	0.6515368223
250.7144928	2.621217728	0.6500669122
251.0717316	2.621538639	0.6486014724
251.4289856	2.621910334	0.6471220255
251.7862244	2.622300386	0.6456406116
252.1434631	2.62265873	0.644166708
252.5007172	2.622993708	0.6426994801
252.8579559	2.623347521	0.6412288547
253.21521	2.623728991	0.6397510171
253.5724487	2.624101162	0.6382781267
253.9296875	2.624436855	0.6368121505
254.2869415	2.624773026	0.6353499889
254.6441803	2.625188589	0.6338651776
255.0014343	2.625604153	0.6323842406
255.3586731	2.625963211	0.6309151053
255.7159119	2.626307249	0.6294521093
256.0731506	2.62664628	0.6279898286
256.4304199	2.626981258	0.6265287399
256.7876587	2.627307177	0.625071764
257.1448975	2.627613068	0.6236178279
257.5021362	2.627923012	0.6221666932
257.859375	2.628308058	0.6206938624
258.2166443	2.628693104	0.6192250252
258.5738831	2.629036903	0.6177636385
258.9311218	2.629369259	0.6163071394
259.2883606	2.629723549	0.6148452759
259.6455994	2.630101442	0.6133777499
260.0028687	2.630470991	0.6119144559
260.3601074	2.630804062	0.6104568839
260.7173462	2.631137133	0.6090032458
261.074585	2.631527662	0.6075327396
261.4318237	2.631926298	0.6060632467
261.789093	2.632294655	0.6045997143
262.1463318	2.632636547	0.6031426191
262.5035706	2.632985115	0.6016861796
262.8608093	2.633360863	0.600220263
263.2180481	2.63373661	0.5987583399
263.5753174	2.634076357	0.5973006487
263.9325562	2.634408236	0.5958474278
264.2897949	2.634770155	0.5943871737
264.6470337	2.635168076	0.5929177403
265.0042725	2.635562897	0.5914524198
265.3615417	2.635909081	0.5899928212
265.7187805	2.636255264	0.5885374546
266.0760193	2.636630058	0.5870733857
266.4332581	2.63702035	0.5856064558
266.7904968	2.637400389	0.5841435194
267.1477661	2.637746572	0.5826842189
267.5050049	2.638092756	0.5812290907
267.8622437	2.638492346	0.5797582269
268.2194824	2.638906717	0.5782862306
268.5767212	2.639301538	0.576818943
268.9339905	2.639657497	0.5753570199
269.2912292	2.640013456	0.5738995075
269.648468	2.640385389	0.5724331737
270.0057068	2.640760183	0.570968926
270.3629761	2.641120911	0.5695074797
270.7202148	2.641457796	0.5680485964
271.0774536	2.64179492	0.566593647
271.4346924	2.642190218	0.5651205182
271.7919312	2.642594814	0.5636481047
272.1492004	2.642982483	0.562179327
272.5064392	2.643337488	0.5607141256
272.863678	2.643692493	0.5592532158
273.2209167	2.644082069	0.5577796698
273.5781555	2.64447999	0.5563060641
273.9354248	2.644867182	0.5548356175
274.2926636	2.645222425	0.5533672571
274.6499023	2.645577669	0.5519028902
275.0071411	2.64597559	0.5504256487
275.3643799	2.646393299	0.5489444137
275.7216492	2.64680624	0.5474668145
276.0788879	2.647170782	0.5459923744
276.4361267	2.647535563	0.544522047
276.7933655	2.647916317	0.5430461764
277.1506042	2.648314476	0.5415642262
277.5078735	2.648712873	0.5400862098
277.8651123	2.649074554	0.5386087894
278.2223511	2.649430513	0.5371348262
278.5795898	2.649800301	0.5356590748
278.9368286	2.650219679	0.5341671109
279.2940979	2.650639057	0.5326790214
279.6513367	2.651031733	0.531193018
280.0085754	2.651402473	0.5297095776
280.3658142	2.651773691	0.5282300115
280.723053	2.652182817	0.5267347097
281.0803223	2.652597427	0.5252406001
281.437561	2.653004408	0.5237497687
281.7947998	2.653376818	0.5222581029
282.1520386	2.653748751	0.5207705498
282.5092773	2.65415287	0.519274056
282.8665466	2.65459466	0.5177662969
283.2237854	2.655035973	0.5162629485
283.5810242	2.655435801	0.5147608519
283.9382629	2.655819893	0.5132618546
284.2955017	2.656203985	0.5117669702
284.652771	2.656598091	0.5102590322
285.0100098	2.656991959	0.5087550879
285.3672485	2.65737915	0.50725317
285.7244873	2.657738209	0.5057482719
286.0817261	2.658097267	0.504247427
286.4389954	2.658484697	0.5027384758
286.7962341	2.658912897	0.5012165308
287.1534729	2.659341335	0.4996985793
287.5107117	2.659741163	0.4981803298
287.8679504	2.660122395	0.4966630042
288.2252197	2.660503387	0.4951494634
288.5824585	2.660917997	0.4936209321
288.9396973	2.661342859	0.4920906126
289.296936	2.661767721	0.4905642867
289.6541748	2.662154436	0.4890335798
290.0114441	2.662537813	0.4875054061
290.3686829	2.662923336	0.4859804809
290.7259216	2.663368225	0.4844317138
291.0831604	2.663812876	0.4828869998
291.4403992	2.664250374	0.4813449979
291.7976685	2.664644718	0.4797989428
292.1549072	2.665039301	0.4782573283
292.512146	2.66544199	0.4767135382
292.8693848	2.665871382	0.4751547277
293.2266235	2.666300535	0.4735999703
293.5838928	2.666717529	0.4720453918
293.9411316	2.667104721	0.4704867303
294.2983704	2.66749239	0.468932122
294.6556091	2.667901516	0.4673708677
295.0128479	2.668351412	0.4657933414
295.3701172	2.668801069	0.4642196596
295.727356	2.669233799	0.4626456797
296.0845947	2.669637203	0.4610678554
296.4418335	2.670040369	0.4594939649
296.7990723	2.670459986	0.4579134583
297.1563416	2.670907497	0.4563186467
297.5135803	2.671354771	0.4547280967
297.8708191	2.6717875	0.4531366229
298.2280579	2.672192812	0.4515393376
298.5852966	2.672598362	0.4499458671
298.9425659	2.673024178	0.4483463764
299.2998047	2.673494577	0.4467276335
299.6570435	2.673965216	0.4451130629
300.0142822	2.674423218	0.4434989095
300.371521	2.674842596	0.4418773353
300.7287903	2.675262213	0.4402597547
301.0860291	2.675685406	0.4386417568
301.4432678	2.676128387	0.4370041192
301.8005066	2.676571369	0.4353705943
302.1577454	2.677012682	0.4337407649
302.5150146	2.67741704	0.4320960641
302.8722534	2.677821636	0.4304557741
303.2294922	2.678226471	0.4288201034
303.586731	2.678691149	0.4271539152
303.9439697	2.679161072	0.4254894257
304.301239	2.679630995	0.4238288403
304.6584778	2.68006587	0.4221572578
305.0157166	2.680490017	0.4204849601
305.3729553	2.680914402	0.4188168645
305.7301941	2.681364775	0.4171322882
306.0874634	2.681834221	0.4154366255
306.4447021	2.682303429	0.4137455821
306.8019409	2.682756901	0.412050128
307.1591797	2.683184385	0.410344094
307.5164185	2.683612108	0.4086423218
307.8736877	2.684049368	0.406938374
308.2309265	2.684538841	0.4052045643
308.5881653	2.685028791	0.4034751952
308.9454041	2.685518503	0.4017501473
309.3026428	2.685964108	0.4000065625
309.6599121	2.686404705	0.3982647955
310.0171509	2.686845779	0.3965274096
310.3743896	2.687310696	0.394769609
310.7316284	2.687790394	0.3930011392
